name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ho Chi Minh,2026-06-24T00:00:00,84.1,90.7,73.3,70.1,0,0,,0,0,9.6,4.7,220,1007,98.9,6.2,0,0,0,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T01:00:00,82.3,89.3,75.1,78.91,0,0,,0,0,11.2,4.7,250,1007,100,6.2,0,0,0,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T02:00:00,82.3,92.1,78.7,88.91,0,0,,0,0,11.4,5.8,240,1007,25,6.2,0,0,0,30,Partially cloudy,partly-cloudy-night,VVTS
Ho Chi Minh,2026-06-24T03:00:00,82.3,92.1,78.7,88.91,0,0,,0,0,11.9,5.8,250,1007,100,6.2,0,0,0,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T04:00:00,82.3,93.8,80.5,94.31,0,0,,0,0,9.8,4.7,220,1007,100,6.2,0,0,0,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T05:00:00,82.3,93.8,80.5,94.31,0,0,,0,0,6.5,4.7,220,1007,25,6.2,0,0,0,30,Partially cloudy,partly-cloudy-night,VVTS
Ho Chi Minh,2026-06-24T06:00:00,82.3,93.8,80.5,94.31,0,0,,0,0,8.3,3.4,220,1008,25,6.2,6,0,0,30,Partially cloudy,partly-cloudy-day,VVTS
Ho Chi Minh,2026-06-24T07:00:00,84.1,98,80.5,88.99,0,0,,0,0,11.9,6.9,230,1008,25,6.2,96,0.3,1,30,Partially cloudy,partly-cloudy-day,VVTS
Ho Chi Minh,2026-06-24T08:00:00,85.9,101.6,80.5,84,0,0,,0,0,10.5,8.1,250,1009,97.9,6.2,283,1,3,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T09:00:00,85.9,101.6,80.5,84,0,0,,0,0,8.7,11.4,230,1009,25,6.2,525,1.9,5,60,Partially cloudy,partly-cloudy-day,VVTS
Ho Chi Minh,2026-06-24T10:00:00,89.5,107.8,80.5,74.94,0,0,,0,0,8.5,8.1,270,1008,25,6.2,712,2.6,7,60,Partially cloudy,partly-cloudy-day,VVTS
Ho Chi Minh,2026-06-24T11:00:00,91.3,104.8,76.9,62.92,0.012,100,rain,0,0,8.7,11.4,260,1008,88,6.2,780,2.8,8,60,"Rain, Partially cloudy",rain,VVTS
Ho Chi Minh,2026-06-24T12:00:00,96.2,104.5,71.5,45.17,0.008,0,rain,0,0,8.9,6,267.5,1006,94.9,15,801,2.9,8,30,Overcast,cloudy,
Ho Chi Minh,2026-06-24T13:00:00,94.7,101.8,70.6,45.8,0.012,13,rain,0,0,8.3,5.8,265.6,1006,100,15,414,1.5,4,30,Overcast,cloudy,
Ho Chi Minh,2026-06-24T14:00:00,92.4,100,71.7,51.08,0.012,65,rain,0,0,4.5,2.5,258.5,1005,100,7.3,147,0.5,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-24T15:00:00,92.4,100.7,72.4,52.33,0.004,65,rain,0,0,3.1,3.8,107.2,1005,100,15,147,0.5,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-24T16:00:00,90.6,99.8,73.7,57.76,0.004,65,rain,0,0,8.7,6.3,158.7,1005,100,15,106,0.4,1,60,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-24T17:00:00,88.2,97.1,74,62.93,0,65,rain,0,0,10.7,5.8,171.7,1005,100,15,31,0.1,0,60,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-24T18:00:00,88.2,96,72.9,60.69,0,65,rain,0,0,7.8,4.7,176.7,1005,70.6,15,9,0,0,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-24T19:00:00,87.3,95,73.1,62.82,0.004,65,rain,0,0,13.4,6.3,224.2,1006,73.5,15,0,0,0,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-24T20:00:00,84.8,92.4,74,70.17,0.028,74,rain,0,0,20.1,10.7,253,1007,91.2,11.8,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-24T21:00:00,81.4,86.5,73.1,76.04,0.02,74,rain,0,0,17.4,7.8,253.1,1008,99.6,15,0,0,0,3,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-24T22:00:00,80.9,85.2,72.1,74.62,0,74,rain,0,0,13.6,7.2,236.5,1009,100,15,0,0,0,5,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-24T23:00:00,78,78,70.6,78.1,0.051,74,rain,0,0,20.6,8.1,230.3,1009,100,7,0,0,0,0,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T00:00:00,78.2,78.2,70.2,76.69,0,74,rain,0,0,11,3.8,248.3,1008,100,15,0,0,0,0,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T01:00:00,77.3,77.3,70.8,80.47,0.035,74,rain,0,0,4.9,2,193.6,1008,100,15,0,0,0,0,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T02:00:00,78,78,71,79.06,0.012,61,rain,0,0,4,2,173.1,1008,100,15,0,0,0,0,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T03:00:00,78.2,78.2,71.9,81.03,0,61,rain,0,0,9.2,3.8,193.3,1007,100,15,0,0,0,3,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T04:00:00,78.2,78.2,73.3,85.06,0,61,rain,0,0,9.4,3.6,165.1,1008,91.3,15,0,0,0,3,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T05:00:00,78,78,74,87.66,0,61,rain,0,0,5.4,3.4,143.8,1008,83.9,15,0,0,0,10,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-25T06:00:00,77.8,77.8,74.6,89.79,0.031,61,rain,0,0,5.1,2.9,153.2,1008,53.4,14.1,7,0,0,10,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-25T07:00:00,80.5,86.3,75.8,85.7,0.02,61,rain,0,0,12.1,5.4,211,1009,94.9,15,128,0.5,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T08:00:00,83.6,91.8,75.6,77.14,0.02,90,rain,0,0,17.2,8.7,238,1009,99.5,15,271,1,3,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T09:00:00,88.1,96.5,73.7,62.53,0.016,90,rain,0,0,15.9,10.5,251.5,1010,100,15,525,1.9,5,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T10:00:00,90.2,97.5,71.9,54.98,0.004,90,rain,0,0,15.2,12.5,262.2,1009,100,15,648,2.3,6,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T11:00:00,91.3,98.3,71.3,52.18,0,90,rain,0,0,14.3,13,266.5,1009,96.1,15,764,2.8,8,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T12:00:00,92,99.4,71.5,51.34,0,90,rain,0,0,12.8,11.6,263.6,1008,47.9,15,829,3,8,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-25T13:00:00,93.5,101.1,71.5,49.09,0,90,rain,0,0,12.1,11.2,262,1007,97.4,15,881,3.2,9,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T14:00:00,93.6,100.7,70.8,47.64,0,94,rain,0,0,12.1,10.7,255.4,1007,98.4,15,620,2.2,6,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T15:00:00,93.1,100.2,71,48.74,0,94,rain,0,0,12.1,10.5,248.8,1006,99.5,15,417,1.5,4,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T16:00:00,92.6,100.2,71.7,50.79,0,94,rain,0,0,12.8,10.1,255.1,1006,99.4,15,298,1.1,3,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T17:00:00,91.8,99.7,72.1,52.58,0,94,rain,0,0,11.9,8.7,248.2,1006,89.1,15,226,0.8,2,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-25T18:00:00,88.4,95.9,72.6,59.62,0.008,94,rain,0,0,15.9,11.4,207.1,1006,99.2,15,105,0.4,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T19:00:00,83.6,89.8,73.1,70.9,0.02,94,rain,0,0,17.7,9.6,194.5,1007,100,14.8,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T20:00:00,80.5,85.5,74.2,81.19,0.098,65,rain,0,0,15.9,6.9,200.1,1009,100,2.9,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T21:00:00,80,80,74.7,84.14,0.012,65,rain,0,0,11.4,4.7,196.4,1009,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T22:00:00,80.3,85.6,75.1,84.16,0.016,65,rain,0,0,8.1,3.1,233.2,1010,97.5,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-25T23:00:00,80,80,75.1,85.16,0,65,rain,0,0,7.2,4.5,171.4,1010,97,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-26T00:00:00,79.4,79.4,74.9,86.16,0,65,rain,0,0,10.5,4.7,187.7,1009,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-26T01:00:00,80,80,74.9,84.65,0,65,rain,0,0,13.9,4.3,219.6,1009,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-26T02:00:00,79.8,79.8,74.7,84.64,0,36,,0,0,17.2,4.3,225.1,1008,100,15,0,0,0,30,Overcast,cloudy,
Ho Chi Minh,2026-06-26T03:00:00,79.6,79.6,74.7,85.14,0,36,,0,0,12.5,4.3,210.5,1008,100,15,0,0,0,30,Overcast,cloudy,
Ho Chi Minh,2026-06-26T04:00:00,79.2,79.2,74.7,86.15,0,36,,0,0,12.8,4.3,209.1,1008,78,15,0,0,0,30,Partially cloudy,partly-cloudy-night,
Ho Chi Minh,2026-06-26T05:00:00,78.7,78.7,74.6,87.17,0.004,36,rain,0,0,9.4,3.6,204.4,1009,57.1,5.9,0,0,0,30,Partially cloudy,partly-cloudy-night,
Ho Chi Minh,2026-06-26T06:00:00,78.3,78.3,74.7,88.74,0.024,36,rain,0,0,8.5,3.4,211.3,1009,43.6,15,7,0,0,10,Partially cloudy,partly-cloudy-day,
Ho Chi Minh,2026-06-26T07:00:00,81.4,87.5,74.9,80.77,0,36,,0,0,11.4,4.5,222.5,1010,73.6,15,139,0.5,1,30,Partially cloudy,partly-cloudy-day,
Ho Chi Minh,2026-06-26T08:00:00,84.8,92.7,74.4,71.03,0.004,61,rain,0,0,12.8,6.7,236.2,1010,18.5,15,366,1.3,4,30,Rain,rain,
Ho Chi Minh,2026-06-26T09:00:00,88.1,96.3,73.5,62.15,0,61,rain,0,0,11.9,7.8,246.7,1010,28.4,15,579,2.1,6,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T10:00:00,90.9,98.9,72.4,54.74,0,61,rain,0,0,12.3,9.2,257.2,1010,100,15,757,2.7,8,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-26T11:00:00,93.3,101.3,71.9,49.97,0.008,61,rain,0,0,12.3,9.6,262.2,1009,71.5,15,869,3.1,9,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T12:00:00,94.4,102.5,71.7,48.04,0.012,61,rain,0,0,12.3,10.1,271.9,1008,96.7,14.3,798,2.9,8,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-26T13:00:00,92.4,100.5,72.2,52.02,0.02,61,rain,0,0,13,11.9,282.5,1008,71.4,14.8,531,1.9,5,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T14:00:00,92,100.1,72.2,52.6,0.004,61,rain,0,0,13.4,10.3,270.1,1007,77.6,15,481,1.7,5,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T15:00:00,94.6,102.5,71.5,47.48,0.004,61,rain,0,0,13.6,11.2,256.4,1006,25.6,15,674,2.4,7,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T16:00:00,93.8,101.6,71.5,48.55,0,61,rain,0,0,14.5,11.6,264,1006,50.7,15,496,1.8,5,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T17:00:00,92,99.9,72.1,52.28,0,61,rain,0,0,14.3,10.7,257.8,1006,33.1,15,238,0.9,2,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T18:00:00,89.7,97.1,72.2,56.6,0,61,rain,0,0,17,11.2,248.3,1006,44.5,15,103,0.4,1,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T19:00:00,85.6,92.6,73.1,66.53,0.02,61,rain,0,0,21,11.6,247.3,1008,67.1,12,0,0,0,30,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T20:00:00,83.9,90.5,73.3,70.51,0.008,77,rain,0,0,18.3,8.9,244.4,1008,53.6,15,0,0,0,10,"Rain, Partially cloudy",rain,
Ho Chi Minh,2026-06-26T21:00:00,82.7,88.2,72.6,71.67,0,77,rain,0,0,16.3,6.9,246.6,1009,92.4,15,0,0,0,3,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-26T22:00:00,83.2,88.7,72.2,69.58,0,77,rain,0,0,19.7,5.8,239.1,1009,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-26T23:00:00,83.2,88.5,71.9,68.74,0,77,rain,0,0,21.3,7.8,239.8,1010,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T00:00:00,82.1,87.1,72.1,71.62,0,77,rain,0,0,23,8.9,238.7,1009,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T01:00:00,81.2,86.1,72.8,75.56,0,77,rain,0,0,22.1,8.5,232.6,1008,99.4,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T02:00:00,80.7,85.4,73.1,77.84,0,39,,0,0,21,7.2,230.9,1008,94.2,15,0,0,0,10,Overcast,cloudy,
Ho Chi Minh,2026-06-27T03:00:00,79.8,79.8,73.3,80.65,0,39,,0,0,19.9,6.7,233.6,1008,86,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
Ho Chi Minh,2026-06-27T04:00:00,78.2,78.2,73.8,86.62,0.031,39,rain,0,0,14.5,4.5,225.1,1008,100,4.4,0,0,0,10,Overcast,cloudy,
Ho Chi Minh,2026-06-27T05:00:00,77.3,77.3,74.2,90.31,0.043,39,rain,0,0,8.1,2.7,215.6,1008,100,11.5,0,0,0,10,Overcast,cloudy,
Ho Chi Minh,2026-06-27T06:00:00,78,78,74.4,88.72,0.028,39,rain,0,0,7.6,2.9,209.1,1009,100,14.2,7,0,0,10,Overcast,cloudy,
Ho Chi Minh,2026-06-27T07:00:00,80,80,74.9,84.65,0.016,39,rain,0,0,13,4,238.4,1009,100,15,118,0.4,1,10,Overcast,cloudy,
Ho Chi Minh,2026-06-27T08:00:00,82.8,90.2,75.1,77.55,0.004,52,rain,0,0,13.4,6.3,256.3,1009,100,14.4,295,1.1,3,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T09:00:00,86.1,94.5,74.4,68.22,0.008,52,rain,0,0,13.9,8.5,271.8,1009,100,15,491,1.8,5,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T10:00:00,89.1,97.5,73.3,59.71,0,52,rain,0,0,14.8,9.8,273.8,1009,100,15,660,2.4,7,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T11:00:00,91.5,99.8,72.6,54.15,0,52,rain,0,0,13.9,9.6,271.4,1008,100,15,766,2.8,8,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T12:00:00,93.3,101.3,71.9,49.97,0,52,rain,0,0,13.6,9.6,271,1008,100,15,751,2.7,8,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T13:00:00,91.8,99.7,72.1,52.58,0.008,52,rain,0,0,12.8,9.6,257,1007,100,11.7,429,1.5,4,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T14:00:00,90.1,98,72.6,56.65,0.004,84,rain,0,0,12.5,8.7,244.1,1006,100,15,211,0.8,2,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T15:00:00,90.2,98,72.4,55.99,0,84,rain,0,0,13.6,7.4,253.6,1005,100,15,153,0.6,2,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T16:00:00,90.1,97.6,72.2,55.96,0,84,rain,0,0,14.3,9.8,239.1,1005,100,15,128,0.5,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T17:00:00,88.4,96.1,72.8,59.98,0,84,rain,0,0,18.1,8.1,236.9,1005,100,15,64,0.2,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T18:00:00,87.7,95.7,73.3,62.49,0,84,rain,0,0,18.1,6.3,240.2,1006,100,15,28,0.1,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T19:00:00,87.3,95.2,73.3,63.2,0,84,rain,0,0,18.1,8.7,238.5,1007,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T20:00:00,85.7,93,73.3,66.55,0.004,55,rain,0,0,19.7,9.2,242.5,1008,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T21:00:00,84.5,91.4,73.5,69.71,0.008,55,rain,0,0,21.5,9.6,245.5,1008,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T22:00:00,83.6,89.7,72.9,70.47,0.012,55,rain,0,0,22.4,8.5,245,1009,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-27T23:00:00,82.7,88.5,73.1,72.99,0,55,rain,0,0,22.8,8.7,242.6,1009,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T00:00:00,82.1,87.9,73.5,75.18,0.004,55,rain,0,0,22.6,8.3,239.2,1008,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T01:00:00,81.8,87.4,73.7,76.53,0,55,rain,0,0,21.9,6.9,247,1008,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T02:00:00,80.1,84.9,74.2,82.15,0.031,29,rain,0,0,16.3,5.4,247.4,1007,100,6.4,0,0,0,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T03:00:00,79.6,79.6,74.7,85.14,0.035,29,rain,0,0,16.3,5.1,240.9,1007,100,15,0,0,0,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T04:00:00,79.8,79.8,75.1,85.66,0,29,,0,0,18.8,6,233.7,1007,100,15,0,0,0,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T05:00:00,79.8,79.8,75.3,86.18,0,29,,0,0,19.5,5.4,239.7,1007,100,15,0,0,0,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T06:00:00,80,80,75.5,86.19,0,29,,0,0,19.7,5.1,246.1,1008,99.7,15,4,0,0,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T07:00:00,81.4,88,75.6,82.73,0,29,,0,0,19.5,7.2,249.2,1008,93.1,15,97,0.3,1,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T08:00:00,85.2,94.1,75.3,72.35,0,42,,0,0,18.1,10.1,258.1,1008,78.4,15,357,1.3,4,30,Partially cloudy,partly-cloudy-day,
Ho Chi Minh,2026-06-28T09:00:00,88.1,97.5,74.6,64.45,0,42,,0,0,15.2,10.5,263.8,1009,49.5,15,575,2.1,6,30,Partially cloudy,partly-cloudy-day,
Ho Chi Minh,2026-06-28T10:00:00,90.9,100.5,73.8,57.46,0.004,42,rain,0,0,15.4,10.5,262,1008,87,15,704,2.5,7,30,Partially cloudy,partly-cloudy-day,
Ho Chi Minh,2026-06-28T11:00:00,92.7,101.2,72.4,51.75,0,42,,0,0,15.9,11,261.3,1007,100,15,614,2.2,6,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T12:00:00,91.7,100,72.6,53.85,0.012,42,rain,0,0,15.7,9.4,266.1,1007,100,15,296,1.1,3,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T13:00:00,91.7,99.6,72.2,53.2,0.008,42,rain,0,0,14.1,7.2,269.6,1006,100,15,198,0.7,2,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T14:00:00,91.5,100,72.8,54.48,0.004,58,rain,0,0,13.6,7.2,256.9,1005,100,15,173,0.6,2,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T15:00:00,91.1,99.5,72.8,55.1,0.004,58,rain,0,0,13.6,7.6,249.7,1004,100,15,128,0.5,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T16:00:00,90.1,98.9,73.5,58.39,0,58,rain,0,0,16.6,9.6,237.4,1004,100,15,96,0.3,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T17:00:00,88.8,96.9,73.1,60.02,0,58,rain,0,0,18.6,7.8,237.3,1005,100,15,64,0.2,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T18:00:00,88.4,96.6,73.3,61.08,0,58,rain,0,0,17.9,8.5,234.4,1005,100,15,30,0.1,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T19:00:00,87.2,94.6,72.9,62.8,0,58,rain,0,0,21.3,9.8,236.6,1005,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T20:00:00,86.3,93.1,72.6,63.85,0,48,rain,0,0,20.8,9.4,232.3,1006,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T21:00:00,84.8,91.3,72.8,67.26,0,48,rain,0,0,21.9,9.4,238,1007,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T22:00:00,83.7,90.2,73.3,70.92,0,48,rain,0,0,22.8,9.2,240.7,1008,100,15,0,0,0,10,"Rain, Overcast",rain,
